,test_name,acc,ductive,seed,unlabeled_amount,labeled_amount
0,300 > 80 > 4 GCN,0.88,trans,0,1000,400
1,300 > 80 > 20 > 4 GCN,0.857,trans,0,1000,400
2,300 > 20 > 20 > 4 GCN,0.882,trans,0,1000,400
3,300 > 80 > 80 > 4 GCN,0.873,trans,0,1000,400
4,300 > 80 > 4 GCN,0.865,trans,1,1000,400
5,300 > 80 > 20 > 4 GCN,0.649,trans,1,1000,400
6,300 > 20 > 20 > 4 GCN,0.887,trans,1,1000,400
7,300 > 80 > 80 > 4 GCN,0.87,trans,1,1000,400
8,300 > 80 > 4 GCN,0.854,trans,2,1000,400
9,300 > 80 > 20 > 4 GCN,0.691,trans,2,1000,400
10,300 > 20 > 20 > 4 GCN,0.79,trans,2,1000,400
11,300 > 80 > 80 > 4 GCN,0.638,trans,2,1000,400
12,300 > 80 > 4 GCN,0.853,trans,3,1000,400
13,300 > 80 > 20 > 4 GCN,0.816,trans,3,1000,400
14,300 > 20 > 20 > 4 GCN,0.831,trans,3,1000,400
15,300 > 80 > 80 > 4 GCN,0.824,trans,3,1000,400
16,300 > 80 > 4 GCN,0.855,trans,4,1000,400
17,300 > 80 > 20 > 4 GCN,0.72,trans,4,1000,400
18,300 > 20 > 20 > 4 GCN,0.855,trans,4,1000,400
19,300 > 80 > 80 > 4 GCN,0.847,trans,4,1000,400
20,300 > 80 > 4 GCN,0.864,trans,5,1000,400
21,300 > 80 > 20 > 4 GCN,0.859,trans,5,1000,400
22,300 > 20 > 20 > 4 GCN,0.845,trans,5,1000,400
23,300 > 80 > 80 > 4 GCN,0.805,trans,5,1000,400
24,300 > 80 > 4 GCN,0.857,trans,6,1000,400
25,300 > 80 > 20 > 4 GCN,0.867,trans,6,1000,400
26,300 > 20 > 20 > 4 GCN,0.847,trans,6,1000,400
27,300 > 80 > 80 > 4 GCN,0.788,trans,6,1000,400
28,300 > 80 > 4 GCN,0.87,trans,7,1000,400
29,300 > 80 > 20 > 4 GCN,0.808,trans,7,1000,400
30,300 > 20 > 20 > 4 GCN,0.837,trans,7,1000,400
31,300 > 80 > 80 > 4 GCN,0.735,trans,7,1000,400
32,300 > 80 > 4 GCN,0.873,trans,8,1000,400
33,300 > 80 > 20 > 4 GCN,0.849,trans,8,1000,400
34,300 > 20 > 20 > 4 GCN,0.874,trans,8,1000,400
35,300 > 80 > 80 > 4 GCN,0.872,trans,8,1000,400
36,300 > 80 > 4 GCN,0.852,trans,9,1000,400
37,300 > 80 > 20 > 4 GCN,0.768,trans,9,1000,400
38,300 > 20 > 20 > 4 GCN,0.785,trans,9,1000,400
39,300 > 80 > 80 > 4 GCN,0.811,trans,9,1000,400
