,test_name,acc,ductive,seed,unlabeled_amount,labeled_amount
0,300 > 80 > 4 GCN,0.883,trans,0,1000,400
1,300 > 80 > 20 > 4 GCN,0.877,trans,0,1000,400
2,300 > 20 > 20 > 4 GCN,0.863,trans,0,1000,400
3,300 > 80 > 80 > 4 GCN,0.877,trans,0,1000,400
4,300 > 80 > 4 GCN,0.896,trans,1,1000,400
5,300 > 80 > 20 > 4 GCN,0.854,trans,1,1000,400
6,300 > 20 > 20 > 4 GCN,0.875,trans,1,1000,400
7,300 > 80 > 80 > 4 GCN,0.693,trans,1,1000,400
8,300 > 80 > 4 GCN,0.875,trans,2,1000,400
9,300 > 80 > 20 > 4 GCN,0.802,trans,2,1000,400
10,300 > 20 > 20 > 4 GCN,0.849,trans,2,1000,400
11,300 > 80 > 80 > 4 GCN,0.83,trans,2,1000,400
12,300 > 80 > 4 GCN,0.861,trans,3,1000,400
13,300 > 80 > 20 > 4 GCN,0.772,trans,3,1000,400
14,300 > 20 > 20 > 4 GCN,0.863,trans,3,1000,400
15,300 > 80 > 80 > 4 GCN,0.786,trans,3,1000,400
16,300 > 80 > 4 GCN,0.839,trans,4,1000,400
17,300 > 80 > 20 > 4 GCN,0.857,trans,4,1000,400
18,300 > 20 > 20 > 4 GCN,0.851,trans,4,1000,400
19,300 > 80 > 80 > 4 GCN,0.837,trans,4,1000,400
20,300 > 80 > 4 GCN,0.831,trans,5,1000,400
21,300 > 80 > 20 > 4 GCN,0.852,trans,5,1000,400
22,300 > 20 > 20 > 4 GCN,0.854,trans,5,1000,400
23,300 > 80 > 80 > 4 GCN,0.855,trans,5,1000,400
24,300 > 80 > 4 GCN,0.869,trans,6,1000,400
25,300 > 80 > 20 > 4 GCN,0.855,trans,6,1000,400
26,300 > 20 > 20 > 4 GCN,0.858,trans,6,1000,400
