,test_name,acc,ductive,seed,unlabeled_amount,labeled_amount
0,2 layer GCN with edge weights,0.855,trans,0,1000,400
1,2 layer GCN without edge weights,0.886,trans,0,1000,400
2,2 layer GCN with edge weights,0.892,trans,1,1000,400
3,2 layer GCN without edge weights,0.888,trans,1,1000,400
4,2 layer GCN with edge weights,0.877,trans,2,1000,400
5,2 layer GCN without edge weights,0.883,trans,2,1000,400
6,2 layer GCN with edge weights,0.885,trans,3,1000,400
7,2 layer GCN without edge weights,0.891,trans,3,1000,400
8,2 layer GCN with edge weights,0.85,trans,4,1000,400
9,2 layer GCN without edge weights,0.866,trans,4,1000,400
10,2 layer GCN with edge weights,0.856,trans,5,1000,400
11,2 layer GCN without edge weights,0.87,trans,5,1000,400
12,2 layer GCN with edge weights,0.875,trans,6,1000,400
13,2 layer GCN without edge weights,0.884,trans,6,1000,400
14,2 layer GCN with edge weights,0.867,trans,7,1000,400
15,2 layer GCN without edge weights,0.88,trans,7,1000,400
16,2 layer GCN with edge weights,0.843,trans,8,1000,400
17,2 layer GCN without edge weights,0.873,trans,8,1000,400
18,2 layer GCN with edge weights,0.862,trans,9,1000,400
19,2 layer GCN without edge weights,0.879,trans,9,1000,400
