,test_name,acc,ductive,seed,unlabeled_amount,labeled_amount
0,2 layer GCN with edge weights,0.87,trans,0,1000,400
1,2 layer GCN without edge weights,0.88,trans,0,1000,400
2,2 layer GCN with edge weights,0.887,trans,1,1000,400
3,2 layer GCN without edge weights,0.893,trans,1,1000,400
4,2 layer GCN with edge weights,0.876,trans,2,1000,400
5,2 layer GCN without edge weights,0.879,trans,2,1000,400
6,2 layer GCN with edge weights,0.888,trans,3,1000,400
7,2 layer GCN without edge weights,0.878,trans,3,1000,400
8,2 layer GCN with edge weights,0.859,trans,4,1000,400
9,2 layer GCN without edge weights,0.864,trans,4,1000,400
10,2 layer GCN with edge weights,0.861,trans,5,1000,400
11,2 layer GCN without edge weights,0.871,trans,5,1000,400
12,2 layer GCN with edge weights,0.876,trans,6,1000,400
13,2 layer GCN without edge weights,0.87,trans,6,1000,400
14,2 layer GCN with edge weights,0.876,trans,7,1000,400
15,2 layer GCN without edge weights,0.895,trans,7,1000,400
16,2 layer GCN with edge weights,0.871,trans,8,1000,400
17,2 layer GCN without edge weights,0.879,trans,8,1000,400
18,2 layer GCN with edge weights,0.88,trans,9,1000,400
19,2 layer GCN without edge weights,0.854,trans,9,1000,400
