,test_name,acc,ductive
0,2 layer their GCN with Edge Weights,0.8391959798994975,trans
1,2 layer default GCN with Edge Weights,0.7542256738236638,trans
2,2 layer their GCN without Edge Weights,0.9661946094106898,trans
3,2 layer default GCN without Edge Weights,0.7245317496573778,trans
4,2 layer their GCN with Edge Weights,0.9575148469620831,in
5,2 layer default GCN with Edge Weights,0.910918227501142,in
6,2 layer their GCN without Edge Weights,0.8734582000913659,in
7,2 layer default GCN without Edge Weights,0.8227501142074006,in
8,2 layer their GCN with Edge Weights,0.8282320694380996,trans
9,2 layer default GCN with Edge Weights,0.7729556875285518,trans
10,2 layer their GCN without Edge Weights,0.9602558245774326,trans
11,2 layer default GCN without Edge Weights,0.7852900867976245,trans
12,2 layer their GCN with Edge Weights,0.7948835084513477,in
13,2 layer default GCN with Edge Weights,0.49474645957058017,in
14,2 layer their GCN without Edge Weights,0.7935130196436729,in
15,2 layer default GCN without Edge Weights,0.7953403380539059,in
16,2 layer their GCN with Edge Weights,0.8218364550022842,trans
17,2 layer default GCN with Edge Weights,0.7967108268615807,trans
18,2 layer their GCN without Edge Weights,0.9588853357697579,trans
19,2 layer default GCN without Edge Weights,0.7903152124257652,trans
20,2 layer their GCN with Edge Weights,0.8003654636820466,in
21,2 layer default GCN with Edge Weights,0.49474645957058017,in
22,2 layer default GCN without Edge Weights,0.49474645957058017,in
23,2 layer their GCN with Edge Weights,0.8095020557332115,trans
24,2 layer default GCN with Edge Weights,0.8483325719506624,trans
25,2 layer their GCN without Edge Weights,0.9588853357697579,trans
26,2 layer default GCN without Edge Weights,0.7994518044769301,trans
27,2 layer their GCN with Edge Weights,0.8359981726815897,trans
28,2 layer default GCN with Edge Weights,0.8323435358611238,trans
29,2 layer their GCN without Edge Weights,0.9611694837825491,trans
30,2 layer default GCN without Edge Weights,0.758337140246688,trans
