,test_name,acc,ductive,seed,unlabeled_amount,labeled_amount
0,2 layer GCN with Edge Weights,0.675,trans,0,40,80
1,2 layer GCN without Edge Weights,0.7,trans,0,40,80
2,2 layer GCN with Edge Weights,0.775,in,0,40,80
3,2 layer GCN without Edge Weights,0.5,in,0,40,80
4,2 layer GCN with Edge Weights,0.775,trans,0,40,160
5,2 layer GCN without Edge Weights,0.9,trans,0,40,160
6,2 layer GCN with Edge Weights,0.325,in,0,40,160
7,2 layer GCN without Edge Weights,0.5,in,0,40,160
8,2 layer GCN with Edge Weights,0.9,trans,0,40,400
9,2 layer GCN without Edge Weights,0.85,trans,0,40,400
10,2 layer GCN with Edge Weights,0.4,in,0,40,400
11,2 layer GCN without Edge Weights,0.5,in,0,40,400
12,2 layer GCN with Edge Weights,0.85,trans,0,40,800
13,2 layer GCN without Edge Weights,0.875,trans,0,40,800
14,2 layer GCN with Edge Weights,0.525,in,0,40,800
15,2 layer GCN without Edge Weights,0.5,in,0,40,800
16,2 layer GCN with Edge Weights,0.9,trans,0,40,1600
17,2 layer GCN without Edge Weights,0.925,trans,0,40,1600
18,2 layer GCN with Edge Weights,0.25,in,0,40,1600
19,2 layer GCN without Edge Weights,0.25,in,0,40,1600
20,2 layer GCN with Edge Weights,0.875,trans,0,40,3200
21,2 layer GCN without Edge Weights,0.95,trans,0,40,3200
22,2 layer GCN with Edge Weights,0.25,in,0,40,3200
23,2 layer GCN without Edge Weights,0.25,in,0,40,3200
24,2 layer GCN with Edge Weights,0.7175,trans,0,400,80
25,2 layer GCN without Edge Weights,0.8025,trans,0,400,80
26,2 layer GCN with Edge Weights,0.25,in,0,400,80
27,2 layer GCN without Edge Weights,0.25,in,0,400,80
28,2 layer GCN with Edge Weights,0.7875,trans,0,400,160
29,2 layer GCN without Edge Weights,0.885,trans,0,400,160
30,2 layer GCN with Edge Weights,0.25,in,0,400,160
31,2 layer GCN without Edge Weights,0.25,in,0,400,160
32,2 layer GCN with Edge Weights,0.8225,trans,0,400,400
33,2 layer GCN without Edge Weights,0.87,trans,0,400,400
34,2 layer GCN with Edge Weights,0.25,in,0,400,400
35,2 layer GCN without Edge Weights,0.25,in,0,400,400
36,2 layer GCN with Edge Weights,0.81,trans,0,400,800
37,2 layer GCN without Edge Weights,0.895,trans,0,400,800
38,2 layer GCN with Edge Weights,0.25,in,0,400,800
39,2 layer GCN without Edge Weights,0.25,in,0,400,800
40,2 layer GCN with Edge Weights,0.835,trans,0,400,1600
41,2 layer GCN without Edge Weights,0.935,trans,0,400,1600
42,2 layer GCN with Edge Weights,0.25,in,0,400,1600
43,2 layer GCN without Edge Weights,0.25,in,0,400,1600
44,2 layer GCN with Edge Weights,0.8025,trans,0,400,3200
45,2 layer GCN without Edge Weights,0.945,trans,0,400,3200
46,2 layer GCN with Edge Weights,0.25,in,0,400,3200
47,2 layer GCN without Edge Weights,0.25,in,0,400,3200
48,2 layer GCN with Edge Weights,0.653,trans,0,1000,80
49,2 layer GCN without Edge Weights,0.782,trans,0,1000,80
50,2 layer GCN with Edge Weights,0.25,in,0,1000,80
51,2 layer GCN without Edge Weights,0.25,in,0,1000,80
52,2 layer GCN with Edge Weights,0.739,trans,0,1000,160
53,2 layer GCN without Edge Weights,0.843,trans,0,1000,160
54,2 layer GCN with Edge Weights,0.25,in,0,1000,160
55,2 layer GCN without Edge Weights,0.25,in,0,1000,160
56,2 layer GCN with Edge Weights,0.794,trans,0,1000,400
57,2 layer GCN without Edge Weights,0.88,trans,0,1000,400
58,2 layer GCN with Edge Weights,0.25,in,0,1000,400
59,2 layer GCN without Edge Weights,0.25,in,0,1000,400
60,2 layer GCN with Edge Weights,0.816,trans,0,1000,800
61,2 layer GCN without Edge Weights,0.899,trans,0,1000,800
62,2 layer GCN with Edge Weights,0.25,in,0,1000,800
63,2 layer GCN without Edge Weights,0.25,in,0,1000,800
64,2 layer GCN with Edge Weights,0.8,trans,0,1000,1600
65,2 layer GCN without Edge Weights,0.916,trans,0,1000,1600
66,2 layer GCN with Edge Weights,0.25,in,0,1000,1600
67,2 layer GCN without Edge Weights,0.25,in,0,1000,1600
68,2 layer GCN with Edge Weights,0.812,trans,0,1000,3200
69,2 layer GCN without Edge Weights,0.935,trans,0,1000,3200
70,2 layer GCN with Edge Weights,0.25,in,0,1000,3200
71,2 layer GCN without Edge Weights,0.25,in,0,1000,3200
72,2 layer GCN with Edge Weights,0.2671875,trans,0,3200,80
73,2 layer GCN without Edge Weights,0.8790625,trans,0,3200,80
74,2 layer GCN with Edge Weights,0.25,in,0,3200,80
75,2 layer GCN without Edge Weights,0.25,in,0,3200,80
76,2 layer GCN with Edge Weights,0.701875,trans,0,3200,160
77,2 layer GCN without Edge Weights,0.8703125,trans,0,3200,160
78,2 layer GCN with Edge Weights,0.25,in,0,3200,160
79,2 layer GCN without Edge Weights,0.25,in,0,3200,160
80,2 layer GCN with Edge Weights,0.77125,trans,0,3200,400
81,2 layer GCN without Edge Weights,0.9140625,trans,0,3200,400
82,2 layer GCN with Edge Weights,0.25,in,0,3200,400
83,2 layer GCN without Edge Weights,0.25,in,0,3200,400
84,2 layer GCN with Edge Weights,0.7865625,trans,0,3200,800
85,2 layer GCN without Edge Weights,0.9171875,trans,0,3200,800
86,2 layer GCN with Edge Weights,0.25,in,0,3200,800
87,2 layer GCN without Edge Weights,0.25,in,0,3200,800
88,2 layer GCN with Edge Weights,0.7978125,trans,0,3200,1600
89,2 layer GCN without Edge Weights,0.9253125,trans,0,3200,1600
90,2 layer GCN with Edge Weights,0.25,in,0,3200,1600
91,2 layer GCN without Edge Weights,0.25,in,0,3200,1600
92,2 layer GCN with Edge Weights,0.25,in,0,3200,3200
93,2 layer GCN without Edge Weights,0.25,in,0,3200,3200
94,2 layer GCN with Edge Weights,0.675,trans,1,40,80
95,2 layer GCN without Edge Weights,0.8,trans,1,40,80
96,2 layer GCN with Edge Weights,0.25,in,1,40,80
97,2 layer GCN without Edge Weights,0.25,in,1,40,80
98,2 layer GCN with Edge Weights,0.8,trans,1,40,160
99,2 layer GCN without Edge Weights,0.9,trans,1,40,160
100,2 layer GCN with Edge Weights,0.25,in,1,40,160
101,2 layer GCN without Edge Weights,0.25,in,1,40,160
102,2 layer GCN with Edge Weights,0.775,trans,1,40,400
103,2 layer GCN without Edge Weights,0.975,trans,1,40,400
104,2 layer GCN with Edge Weights,0.25,in,1,40,400
105,2 layer GCN without Edge Weights,0.25,in,1,40,400
106,2 layer GCN with Edge Weights,0.9,trans,1,40,800
107,2 layer GCN without Edge Weights,0.95,trans,1,40,800
108,2 layer GCN with Edge Weights,0.25,in,1,40,800
109,2 layer GCN without Edge Weights,0.25,in,1,40,800
110,2 layer GCN with Edge Weights,0.875,trans,1,40,1600
111,2 layer GCN without Edge Weights,0.975,trans,1,40,1600
112,2 layer GCN with Edge Weights,0.25,in,1,40,1600
113,2 layer GCN without Edge Weights,0.25,in,1,40,1600
114,2 layer GCN with Edge Weights,0.85,trans,1,40,3200
115,2 layer GCN without Edge Weights,1.0,trans,1,40,3200
116,2 layer GCN with Edge Weights,0.25,in,1,40,3200
117,2 layer GCN without Edge Weights,0.25,in,1,40,3200
118,2 layer GCN with Edge Weights,0.68,trans,1,400,80
