,test_name,acc,ductive,seed,unlabeled_amount,labeled_amount
0,2 layer GCN with Edge Weights,0.725,trans,0,40,160
1,2 layer GCN without Edge Weights,0.675,trans,0,40,160
2,2 layer GCN with Edge Weights,0.725,in,0,40,160
3,2 layer GCN without Edge Weights,0.5,in,0,40,160
4,2 layer GCN with Edge Weights,0.8,trans,0,40,160
5,2 layer GCN without Edge Weights,0.7,trans,0,40,160
6,2 layer GCN with Edge Weights,0.625,in,0,40,160
7,2 layer GCN without Edge Weights,0.175,in,0,40,160
8,2 layer GCN with Edge Weights,0.825,trans,0,40,160
9,2 layer GCN without Edge Weights,0.725,trans,0,40,160
10,2 layer GCN with Edge Weights,0.5,in,0,40,160
11,2 layer GCN without Edge Weights,0.35,in,0,40,160
12,2 layer GCN with Edge Weights,0.775,trans,0,40,160
13,2 layer GCN without Edge Weights,0.8,trans,0,40,160
14,2 layer GCN with Edge Weights,0.25,in,0,40,160
15,2 layer GCN without Edge Weights,0.25,in,0,40,160
16,2 layer GCN with Edge Weights,0.725,trans,0,40,160
17,2 layer GCN without Edge Weights,0.65,trans,0,40,160
18,2 layer GCN with Edge Weights,0.25,in,0,40,160
19,2 layer GCN with Edge Weights,0.725,trans,0,40,160
20,2 layer GCN without Edge Weights,0.725,trans,0,40,160
21,2 layer GCN with Edge Weights,0.7,trans,0,40,160
22,2 layer GCN without Edge Weights,0.725,trans,0,40,160
23,2 layer GCN with Edge Weights,0.8,trans,0,40,160
24,2 layer GCN without Edge Weights,0.775,trans,0,40,160
25,2 layer GCN with Edge Weights,0.725,trans,0,40,160
26,2 layer GCN without Edge Weights,0.625,trans,0,40,160
27,2 layer GCN with Edge Weights,0.85,trans,0,40,160
28,2 layer GCN without Edge Weights,0.7,trans,0,40,160
29,2 layer GCN with Edge Weights,0.8,trans,0,40,160
30,2 layer GCN without Edge Weights,0.85,trans,0,40,160
