,test_name,acc,ductive,seed,unlabeled_amount,labeled_amount
0,2 layer GCN with Edge Weights,0.7,trans,0,40,80
1,2 layer GCN with Edge Weights,0.75,in,0,40,80
2,2 layer GCN with Edge Weights,0.775,trans,0,40,160
3,2 layer GCN with Edge Weights,0.8,in,0,40,160
4,2 layer GCN with Edge Weights,0.875,trans,0,40,400
5,2 layer GCN with Edge Weights,0.875,in,0,40,400
6,2 layer GCN with Edge Weights,0.825,trans,0,40,800
7,2 layer GCN with Edge Weights,0.875,in,0,40,800
8,2 layer GCN with Edge Weights,0.8,trans,0,40,1600
9,2 layer GCN with Edge Weights,0.85,in,0,40,1600
10,2 layer GCN with Edge Weights,0.85,trans,0,40,3200
11,2 layer GCN with Edge Weights,0.95,in,0,40,3200
12,2 layer GCN with Edge Weights,0.58,trans,0,400,80
13,2 layer GCN with Edge Weights,0.7,in,0,400,80
14,2 layer GCN with Edge Weights,0.7925,trans,0,400,160
15,2 layer GCN with Edge Weights,0.7575,in,0,400,160
16,2 layer GCN with Edge Weights,0.8,trans,0,400,400
17,2 layer GCN with Edge Weights,0.84,in,0,400,400
18,2 layer GCN with Edge Weights,0.83,trans,0,400,800
19,2 layer GCN with Edge Weights,0.855,in,0,400,800
20,2 layer GCN with Edge Weights,0.7825,trans,0,400,1600
21,2 layer GCN with Edge Weights,0.8975,in,0,400,1600
22,2 layer GCN with Edge Weights,0.8375,trans,0,400,3200
23,2 layer GCN with Edge Weights,0.9375,in,0,400,3200
24,2 layer GCN with Edge Weights,0.66,trans,0,1000,80
25,2 layer GCN with Edge Weights,0.692,in,0,1000,80
26,2 layer GCN with Edge Weights,0.756,trans,0,1000,160
27,2 layer GCN with Edge Weights,0.768,in,0,1000,160
28,2 layer GCN with Edge Weights,0.767,trans,0,1000,400
29,2 layer GCN with Edge Weights,0.832,in,0,1000,400
30,2 layer GCN with Edge Weights,0.81,trans,0,1000,800
31,2 layer GCN with Edge Weights,0.862,in,0,1000,800
32,2 layer GCN with Edge Weights,0.809,trans,0,1000,1600
33,2 layer GCN with Edge Weights,0.899,in,0,1000,1600
34,2 layer GCN with Edge Weights,0.804,trans,0,1000,3200
35,2 layer GCN with Edge Weights,0.918,in,0,1000,3200
36,2 layer GCN with Edge Weights,0.6196875,trans,0,3200,80
37,2 layer GCN with Edge Weights,0.6909375,in,0,3200,80
38,2 layer GCN with Edge Weights,0.7371875,trans,0,3200,160
39,2 layer GCN with Edge Weights,0.76125,in,0,3200,160
40,2 layer GCN with Edge Weights,0.758125,trans,0,3200,400
41,2 layer GCN with Edge Weights,0.8465625,in,0,3200,400
42,2 layer GCN with Edge Weights,0.7821875,trans,0,3200,800
43,2 layer GCN with Edge Weights,0.883125,in,0,3200,800
44,2 layer GCN with Edge Weights,0.8009375,trans,0,3200,1600
