,test_name,acc,ductive,seed,unlabeled_amount,labeled_amount
0,300 80 GCN,0.882,trans,0,1000,400
1,200 80 GCN,0.888,trans,0,1000,400
2,100 80 GCN,0.865,trans,0,1000,400
3,40 80 GCN,0.862,trans,0,1000,400
4,40 40 GCN,0.868,trans,0,1000,400
5,40 10 GCN,0.848,trans,0,1000,400
6,200 40 GCN,0.879,trans,0,1000,400
7,200 20 GCN,0.878,trans,0,1000,400
8,200 200 GCN,0.875,trans,0,1000,400
9,300 80 GCN,0.846,in,0,1000,400
10,200 80 GCN,0.853,in,0,1000,400
11,100 80 GCN,0.828,in,0,1000,400
12,40 80 GCN,0.751,in,0,1000,400
13,40 40 GCN,0.792,in,0,1000,400
14,40 10 GCN,0.811,in,0,1000,400
15,200 40 GCN,0.865,in,0,1000,400
16,200 20 GCN,0.834,in,0,1000,400
17,200 200 GCN,0.816,in,0,1000,400
18,300 80 GCN,0.899,trans,1,1000,400
19,200 80 GCN,0.902,trans,1,1000,400
20,100 80 GCN,0.901,trans,1,1000,400
21,40 80 GCN,0.893,trans,1,1000,400
22,40 40 GCN,0.884,trans,1,1000,400
23,40 10 GCN,0.861,trans,1,1000,400
24,200 40 GCN,0.888,trans,1,1000,400
25,200 20 GCN,0.891,trans,1,1000,400
26,200 200 GCN,0.901,trans,1,1000,400
27,300 80 GCN,0.863,in,1,1000,400
28,200 80 GCN,0.848,in,1,1000,400
29,100 80 GCN,0.849,in,1,1000,400
30,40 80 GCN,0.79,in,1,1000,400
31,40 40 GCN,0.817,in,1,1000,400
32,40 10 GCN,0.805,in,1,1000,400
33,200 40 GCN,0.866,in,1,1000,400
34,200 20 GCN,0.857,in,1,1000,400
35,200 200 GCN,0.834,in,1,1000,400
36,300 80 GCN,0.88,trans,2,1000,400
37,200 80 GCN,0.868,trans,2,1000,400
38,100 80 GCN,0.882,trans,2,1000,400
39,40 80 GCN,0.874,trans,2,1000,400
40,40 40 GCN,0.869,trans,2,1000,400
41,40 10 GCN,0.848,trans,2,1000,400
42,200 40 GCN,0.881,trans,2,1000,400
43,200 20 GCN,0.872,trans,2,1000,400
44,200 200 GCN,0.873,trans,2,1000,400
45,300 80 GCN,0.861,in,2,1000,400
46,200 80 GCN,0.855,in,2,1000,400
47,100 80 GCN,0.821,in,2,1000,400
48,40 80 GCN,0.803,in,2,1000,400
49,40 40 GCN,0.764,in,2,1000,400
50,40 10 GCN,0.795,in,2,1000,400
51,200 40 GCN,0.84,in,2,1000,400
52,200 20 GCN,0.833,in,2,1000,400
53,200 200 GCN,0.821,in,2,1000,400
54,300 80 GCN,0.894,trans,3,1000,400
55,200 80 GCN,0.883,trans,3,1000,400
56,100 80 GCN,0.882,trans,3,1000,400
57,40 80 GCN,0.87,trans,3,1000,400
58,40 40 GCN,0.845,trans,3,1000,400
59,40 10 GCN,0.855,trans,3,1000,400
60,200 40 GCN,0.886,trans,3,1000,400
61,200 20 GCN,0.883,trans,3,1000,400
62,200 200 GCN,0.866,trans,3,1000,400
63,300 80 GCN,0.855,in,3,1000,400
64,200 80 GCN,0.857,in,3,1000,400
65,100 80 GCN,0.824,in,3,1000,400
66,40 80 GCN,0.773,in,3,1000,400
67,40 40 GCN,0.802,in,3,1000,400
68,40 10 GCN,0.787,in,3,1000,400
69,200 40 GCN,0.857,in,3,1000,400
70,200 20 GCN,0.842,in,3,1000,400
71,200 200 GCN,0.853,in,3,1000,400
72,300 80 GCN,0.872,trans,4,1000,400
73,200 80 GCN,0.875,trans,4,1000,400
74,100 80 GCN,0.87,trans,4,1000,400
75,40 80 GCN,0.864,trans,4,1000,400
76,40 40 GCN,0.875,trans,4,1000,400
77,40 10 GCN,0.873,trans,4,1000,400
