,test_name,acc,ductive,seed,unlabeled_amount,labeled_amount
0,None 80 GCN,0.885,trans,0,1000,400
1,None 200 GCN,0.881,trans,0,1000,400
2,None 100 GCN,0.884,trans,0,1000,400
3,None 20 GCN,0.878,trans,0,1000,400
4,None 10 10 GCN,0.546,trans,0,1000,400
5,None 80 GCN,0.904,trans,1,1000,400
6,None 200 GCN,0.903,trans,1,1000,400
7,None 100 GCN,0.901,trans,1,1000,400
8,None 20 GCN,0.896,trans,1,1000,400
9,None 10 10 GCN,0.707,trans,1,1000,400
10,None 80 GCN,0.885,trans,2,1000,400
11,None 200 GCN,0.889,trans,2,1000,400
12,None 100 GCN,0.888,trans,2,1000,400
13,None 20 GCN,0.889,trans,2,1000,400
14,None 10 10 GCN,0.559,trans,2,1000,400
15,None 80 GCN,0.898,trans,3,1000,400
16,None 200 GCN,0.89,trans,3,1000,400
17,None 100 GCN,0.898,trans,3,1000,400
18,None 20 GCN,0.883,trans,3,1000,400
19,None 10 10 GCN,0.592,trans,3,1000,400
20,None 80 GCN,0.884,trans,4,1000,400
21,None 200 GCN,0.873,trans,4,1000,400
22,None 100 GCN,0.88,trans,4,1000,400
23,None 20 GCN,0.87,trans,4,1000,400
24,None 10 10 GCN,0.506,trans,4,1000,400
25,None 80 GCN,0.875,trans,5,1000,400
26,None 200 GCN,0.882,trans,5,1000,400
27,None 100 GCN,0.878,trans,5,1000,400
28,None 20 GCN,0.865,trans,5,1000,400
29,None 10 10 GCN,0.705,trans,5,1000,400
30,None 80 GCN,0.887,trans,6,1000,400
31,None 200 GCN,0.886,trans,6,1000,400
32,None 100 GCN,0.886,trans,6,1000,400
33,None 20 GCN,0.884,trans,6,1000,400
34,None 10 10 GCN,0.699,trans,6,1000,400
35,None 80 GCN,0.891,trans,7,1000,400
36,None 200 GCN,0.887,trans,7,1000,400
37,None 100 GCN,0.894,trans,7,1000,400
38,None 20 GCN,0.887,trans,7,1000,400
39,None 10 10 GCN,0.573,trans,7,1000,400
40,None 80 GCN,0.888,trans,8,1000,400
41,None 200 GCN,0.884,trans,8,1000,400
42,None 100 GCN,0.884,trans,8,1000,400
43,None 20 GCN,0.877,trans,8,1000,400
44,None 10 10 GCN,0.613,trans,8,1000,400
45,None 80 GCN,0.868,trans,9,1000,400
46,None 200 GCN,0.881,trans,9,1000,400
47,None 100 GCN,0.882,trans,9,1000,400
48,None 20 GCN,0.879,trans,9,1000,400
49,None 10 10 GCN,0.626,trans,9,1000,400
