,test_name,acc,ductive,seed,unlabeled_amount,labeled_amount
0,2 layer default GCN weighted,0.875,trans,0,40,400
1,2 layer default GCN weighted,0.825,in,0,40,400
2,2 layer default GCN weighted,0.9,trans,0,100,400
3,2 layer default GCN weighted,0.84,in,0,100,400
4,2 layer default GCN weighted,0.865,trans,0,200,400
5,2 layer default GCN weighted,0.855,in,0,200,400
6,2 layer default GCN weighted,0.86,trans,0,300,400
7,2 layer default GCN weighted,0.8466666666666667,in,0,300,400
8,2 layer default GCN weighted,0.8775,trans,0,400,400
9,2 layer default GCN weighted,0.835,in,0,400,400
10,2 layer default GCN weighted,0.875,trans,0,600,400
11,2 layer default GCN weighted,0.8516666666666667,in,0,600,400
12,2 layer default GCN weighted,0.87,trans,0,1000,400
13,2 layer default GCN weighted,0.828,in,0,1000,400
14,2 layer default GCN weighted,0.925,trans,1,40,400
15,2 layer default GCN weighted,0.85,in,1,40,400
16,2 layer default GCN weighted,0.95,trans,1,100,400
17,2 layer default GCN weighted,0.86,in,1,100,400
18,2 layer default GCN weighted,0.91,trans,1,200,400
19,2 layer default GCN weighted,0.845,in,1,200,400
20,2 layer default GCN weighted,0.9133333333333333,trans,1,300,400
21,2 layer default GCN weighted,0.9033333333333333,in,1,300,400
22,2 layer default GCN weighted,0.895,trans,1,400,400
23,2 layer default GCN weighted,0.8775,in,1,400,400
24,2 layer default GCN weighted,0.8866666666666667,trans,1,600,400
25,2 layer default GCN weighted,0.8266666666666667,in,1,600,400
26,2 layer default GCN weighted,0.893,trans,1,1000,400
27,2 layer default GCN weighted,0.865,in,1,1000,400
28,2 layer default GCN weighted,0.9,trans,2,40,400
29,2 layer default GCN weighted,0.925,in,2,40,400
30,2 layer default GCN weighted,0.92,trans,2,100,400
31,2 layer default GCN weighted,0.87,in,2,100,400
32,2 layer default GCN weighted,0.89,trans,2,200,400
33,2 layer default GCN weighted,0.875,in,2,200,400
34,2 layer default GCN weighted,0.88,trans,2,300,400
35,2 layer default GCN weighted,0.8566666666666667,in,2,300,400
36,2 layer default GCN weighted,0.8775,trans,2,400,400
37,2 layer default GCN weighted,0.83,in,2,400,400
38,2 layer default GCN weighted,0.88,trans,2,600,400
39,2 layer default GCN weighted,0.8566666666666667,in,2,600,400
40,2 layer default GCN weighted,0.876,trans,2,1000,400
