,test_name,acc,ductive,seed,unlabeled_amount,labeled_amount
0,300 80 GCN,0.877,trans,0,1000,400
1,300 20 GCN,0.878,trans,0,1000,400
2,200 80 GCN,0.878,trans,0,1000,400
3,100 80 GCN,0.883,trans,0,1000,400
4,40 80 GCN,0.879,trans,0,1000,400
5,40 40 GCN,0.875,trans,0,1000,400
6,40 10 GCN,0.88,trans,0,1000,400
7,200 40 GCN,0.88,trans,0,1000,400
8,200 20 GCN,0.879,trans,0,1000,400
9,200 200 GCN,0.88,trans,0,1000,400
10,None 80 GCN,0.881,trans,0,1000,400
11,None 200 GCN,0.88,trans,0,1000,400
12,None 100 GCN,0.879,trans,0,1000,400
13,None 20 GCN,0.875,trans,0,1000,400
14,None 10 10 GCN,0.79,trans,0,1000,400
15,300 80 GCN,0.853,in,0,1000,400
16,300 20 GCN,0.874,in,0,1000,400
17,200 80 GCN,0.844,in,0,1000,400
18,100 80 GCN,0.796,in,0,1000,400
19,40 80 GCN,0.778,in,0,1000,400
20,40 40 GCN,0.792,in,0,1000,400
21,40 10 GCN,0.806,in,0,1000,400
22,200 40 GCN,0.854,in,0,1000,400
23,200 20 GCN,0.83,in,0,1000,400
24,200 200 GCN,0.831,in,0,1000,400
25,300 80 GCN,0.888,trans,1,1000,400
26,300 20 GCN,0.869,trans,1,1000,400
27,200 80 GCN,0.901,trans,1,1000,400
28,100 80 GCN,0.894,trans,1,1000,400
29,40 80 GCN,0.903,trans,1,1000,400
30,40 40 GCN,0.895,trans,1,1000,400
31,40 10 GCN,0.849,trans,1,1000,400
32,200 40 GCN,0.896,trans,1,1000,400
33,200 20 GCN,0.899,trans,1,1000,400
34,200 200 GCN,0.862,trans,1,1000,400
35,None 80 GCN,0.903,trans,1,1000,400
36,None 200 GCN,0.898,trans,1,1000,400
37,None 100 GCN,0.901,trans,1,1000,400
38,None 20 GCN,0.9,trans,1,1000,400
39,None 10 10 GCN,0.87,trans,1,1000,400
40,300 80 GCN,0.867,in,1,1000,400
41,300 20 GCN,0.881,in,1,1000,400
42,200 80 GCN,0.842,in,1,1000,400
43,100 80 GCN,0.847,in,1,1000,400
44,40 80 GCN,0.784,in,1,1000,400
45,40 40 GCN,0.814,in,1,1000,400
46,40 10 GCN,0.815,in,1,1000,400
47,200 40 GCN,0.883,in,1,1000,400
48,200 20 GCN,0.869,in,1,1000,400
49,200 200 GCN,0.866,in,1,1000,400
50,300 80 GCN,0.847,trans,2,1000,400
51,300 20 GCN,0.874,trans,2,1000,400
52,200 80 GCN,0.87,trans,2,1000,400
53,100 80 GCN,0.881,trans,2,1000,400
54,40 80 GCN,0.862,trans,2,1000,400
55,40 40 GCN,0.878,trans,2,1000,400
56,40 10 GCN,0.877,trans,2,1000,400
57,200 40 GCN,0.879,trans,2,1000,400
58,200 20 GCN,0.878,trans,2,1000,400
59,200 200 GCN,0.874,trans,2,1000,400
60,None 80 GCN,0.887,trans,2,1000,400
61,None 200 GCN,0.886,trans,2,1000,400
62,None 100 GCN,0.883,trans,2,1000,400
63,None 20 GCN,0.889,trans,2,1000,400
64,None 10 10 GCN,0.741,trans,2,1000,400
65,300 80 GCN,0.843,in,2,1000,400
66,300 20 GCN,0.87,in,2,1000,400
67,200 80 GCN,0.834,in,2,1000,400
68,100 80 GCN,0.809,in,2,1000,400
