,test_name,acc,ductive,seed,unlabeled_amount,labeled_amount
0,2 layer default GCN weighted,0.79,trans,0,1000,400
1,2 layer custom GCN weighted,0.791,trans,0,1000,400
2,2 layer default GCN unweighted,0.88,trans,0,1000,400
3,2 layer custom GCN unweighted,0.874,trans,0,1000,400
4,2 layer default GCN weighted,0.833,in,0,1000,400
5,2 layer custom GCN weighted,0.835,in,0,1000,400
6,2 layer default GCN unweighted,0.839,in,0,1000,400
7,2 layer custom GCN unweighted,0.841,in,0,1000,400
8,2 layer default GCN weighted,0.777,trans,1,1000,400
9,2 layer custom GCN weighted,0.762,trans,1,1000,400
10,2 layer default GCN unweighted,0.89,trans,1,1000,400
11,2 layer custom GCN unweighted,0.902,trans,1,1000,400
12,2 layer default GCN weighted,0.854,in,1,1000,400
13,2 layer custom GCN weighted,0.859,in,1,1000,400
14,2 layer default GCN unweighted,0.855,in,1,1000,400
15,2 layer custom GCN unweighted,0.863,in,1,1000,400
16,2 layer default GCN weighted,0.791,trans,2,1000,400
17,2 layer custom GCN weighted,0.795,trans,2,1000,400
18,2 layer default GCN unweighted,0.873,trans,2,1000,400
19,2 layer custom GCN unweighted,0.88,trans,2,1000,400
20,2 layer default GCN weighted,0.832,in,2,1000,400
21,2 layer custom GCN weighted,0.826,in,2,1000,400
22,2 layer default GCN unweighted,0.856,in,2,1000,400
23,2 layer custom GCN unweighted,0.843,in,2,1000,400
24,2 layer default GCN weighted,0.726,trans,3,1000,400
25,2 layer custom GCN weighted,0.795,trans,3,1000,400
26,2 layer default GCN unweighted,0.89,trans,3,1000,400
27,2 layer custom GCN unweighted,0.891,trans,3,1000,400
28,2 layer default GCN weighted,0.848,in,3,1000,400
