,test_name,acc,ductive,seed,unlabeled_amount,labeled_amount
0,2 layer default GCN with Edge Weights,0.541,trans,0,1000,400
1,2 layer default GCN without Edge Weights,0.25,trans,0,1000,400
2,2 layer their GCN with Edge Weights,0.793,trans,0,1000,400
3,2 layer their GCN without Edge Weights,0.878,trans,0,1000,400
4,2 layer default GCN with Edge Weights,0.666,in,0,1000,400
5,2 layer default GCN without Edge Weights,0.746,in,0,1000,400
6,2 layer their GCN with Edge Weights,0.832,in,0,1000,400
7,2 layer their GCN without Edge Weights,0.844,in,0,1000,400
8,2 layer default GCN with Edge Weights,0.44,trans,1,1000,400
9,2 layer default GCN without Edge Weights,0.408,trans,1,1000,400
10,2 layer their GCN with Edge Weights,0.783,trans,1,1000,400
11,2 layer their GCN without Edge Weights,0.9,trans,1,1000,400
12,2 layer default GCN with Edge Weights,0.656,in,1,1000,400
13,2 layer default GCN without Edge Weights,0.738,in,1,1000,400
14,2 layer their GCN with Edge Weights,0.857,in,1,1000,400
15,2 layer their GCN without Edge Weights,0.861,in,1,1000,400
16,2 layer default GCN with Edge Weights,0.447,trans,2,1000,400
17,2 layer default GCN without Edge Weights,0.462,trans,2,1000,400
18,2 layer their GCN with Edge Weights,0.79,trans,2,1000,400
19,2 layer their GCN without Edge Weights,0.884,trans,2,1000,400
20,2 layer default GCN with Edge Weights,0.517,in,2,1000,400
21,2 layer default GCN without Edge Weights,0.738,in,2,1000,400
22,2 layer their GCN with Edge Weights,0.826,in,2,1000,400
23,2 layer their GCN without Edge Weights,0.835,in,2,1000,400
24,2 layer default GCN with Edge Weights,0.252,trans,3,1000,400
25,2 layer default GCN without Edge Weights,0.355,trans,3,1000,400
26,2 layer their GCN with Edge Weights,0.753,trans,3,1000,400
27,2 layer their GCN without Edge Weights,0.875,trans,3,1000,400
28,2 layer default GCN with Edge Weights,0.663,in,3,1000,400
29,2 layer default GCN without Edge Weights,0.771,in,3,1000,400
30,2 layer their GCN with Edge Weights,0.843,in,3,1000,400
31,2 layer their GCN without Edge Weights,0.859,in,3,1000,400
32,2 layer default GCN with Edge Weights,0.511,trans,4,1000,400
33,2 layer default GCN without Edge Weights,0.25,trans,4,1000,400
34,2 layer their GCN with Edge Weights,0.785,trans,4,1000,400
35,2 layer their GCN without Edge Weights,0.863,trans,4,1000,400
36,2 layer default GCN with Edge Weights,0.664,in,4,1000,400
37,2 layer default GCN without Edge Weights,0.724,in,4,1000,400
38,2 layer their GCN with Edge Weights,0.834,in,4,1000,400
39,2 layer their GCN without Edge Weights,0.833,in,4,1000,400
40,2 layer default GCN with Edge Weights,0.315,trans,5,1000,400
41,2 layer default GCN without Edge Weights,0.283,trans,5,1000,400
42,2 layer their GCN with Edge Weights,0.769,trans,5,1000,400
43,2 layer their GCN without Edge Weights,0.87,trans,5,1000,400
44,2 layer default GCN with Edge Weights,0.624,in,5,1000,400
45,2 layer default GCN without Edge Weights,0.741,in,5,1000,400
46,2 layer their GCN with Edge Weights,0.832,in,5,1000,400
47,2 layer their GCN without Edge Weights,0.841,in,5,1000,400
48,2 layer default GCN with Edge Weights,0.346,trans,6,1000,400
49,2 layer default GCN without Edge Weights,0.264,trans,6,1000,400
50,2 layer their GCN with Edge Weights,0.791,trans,6,1000,400
51,2 layer their GCN without Edge Weights,0.879,trans,6,1000,400
52,2 layer default GCN with Edge Weights,0.612,in,6,1000,400
53,2 layer default GCN without Edge Weights,0.763,in,6,1000,400
54,2 layer their GCN with Edge Weights,0.832,in,6,1000,400
55,2 layer their GCN without Edge Weights,0.828,in,6,1000,400
56,2 layer default GCN with Edge Weights,0.266,trans,7,1000,400
57,2 layer default GCN without Edge Weights,0.332,trans,7,1000,400
58,2 layer their GCN with Edge Weights,0.77,trans,7,1000,400
59,2 layer their GCN without Edge Weights,0.891,trans,7,1000,400
60,2 layer default GCN with Edge Weights,0.67,in,7,1000,400
61,2 layer default GCN without Edge Weights,0.748,in,7,1000,400
62,2 layer their GCN with Edge Weights,0.867,in,7,1000,400
63,2 layer their GCN without Edge Weights,0.845,in,7,1000,400
64,2 layer default GCN with Edge Weights,0.49,trans,8,1000,400
65,2 layer default GCN without Edge Weights,0.25,trans,8,1000,400
66,2 layer their GCN with Edge Weights,0.764,trans,8,1000,400
67,2 layer their GCN without Edge Weights,0.888,trans,8,1000,400
68,2 layer default GCN with Edge Weights,0.638,in,8,1000,400
69,2 layer default GCN without Edge Weights,0.743,in,8,1000,400
70,2 layer their GCN with Edge Weights,0.847,in,8,1000,400
71,2 layer their GCN without Edge Weights,0.852,in,8,1000,400
72,2 layer default GCN with Edge Weights,0.545,trans,9,1000,400
73,2 layer default GCN without Edge Weights,0.25,trans,9,1000,400
74,2 layer their GCN with Edge Weights,0.8,trans,9,1000,400
75,2 layer their GCN without Edge Weights,0.869,trans,9,1000,400
76,2 layer default GCN with Edge Weights,0.568,in,9,1000,400
77,2 layer default GCN without Edge Weights,0.742,in,9,1000,400
78,2 layer their GCN with Edge Weights,0.845,in,9,1000,400
79,2 layer their GCN without Edge Weights,0.838,in,9,1000,400
