,seed,unlabeled_amount,labeled_amount,acc,test_name,graph_method
0,0,1000,400,0.875,their implementation (NO SELF LOOPS),"{'name': 'text_gcn_impl', 'kwargs': {'window_size': 10}}"
1,0,1000,400,0.871,my implementation,"{'name': 'pmi_tfidf', 'kwargs': {'window_size': 10}}"
2,1,1000,400,0.894,their implementation (NO SELF LOOPS),"{'name': 'text_gcn_impl', 'kwargs': {'window_size': 10}}"
3,1,1000,400,0.895,my implementation,"{'name': 'pmi_tfidf', 'kwargs': {'window_size': 10}}"
4,2,1000,400,0.873,their implementation (NO SELF LOOPS),"{'name': 'text_gcn_impl', 'kwargs': {'window_size': 10}}"
5,2,1000,400,0.882,my implementation,"{'name': 'pmi_tfidf', 'kwargs': {'window_size': 10}}"
6,3,1000,400,0.879,their implementation (NO SELF LOOPS),"{'name': 'text_gcn_impl', 'kwargs': {'window_size': 10}}"
7,3,1000,400,0.885,my implementation,"{'name': 'pmi_tfidf', 'kwargs': {'window_size': 10}}"
8,4,1000,400,0.861,their implementation (NO SELF LOOPS),"{'name': 'text_gcn_impl', 'kwargs': {'window_size': 10}}"
9,4,1000,400,0.857,my implementation,"{'name': 'pmi_tfidf', 'kwargs': {'window_size': 10}}"
10,5,1000,400,0.859,their implementation (NO SELF LOOPS),"{'name': 'text_gcn_impl', 'kwargs': {'window_size': 10}}"
11,5,1000,400,0.863,my implementation,"{'name': 'pmi_tfidf', 'kwargs': {'window_size': 10}}"
12,6,1000,400,0.877,their implementation (NO SELF LOOPS),"{'name': 'text_gcn_impl', 'kwargs': {'window_size': 10}}"
13,6,1000,400,0.867,my implementation,"{'name': 'pmi_tfidf', 'kwargs': {'window_size': 10}}"
14,7,1000,400,0.885,their implementation (NO SELF LOOPS),"{'name': 'text_gcn_impl', 'kwargs': {'window_size': 10}}"
15,7,1000,400,0.872,my implementation,"{'name': 'pmi_tfidf', 'kwargs': {'window_size': 10}}"
16,8,1000,400,0.875,their implementation (NO SELF LOOPS),"{'name': 'text_gcn_impl', 'kwargs': {'window_size': 10}}"
17,8,1000,400,0.869,my implementation,"{'name': 'pmi_tfidf', 'kwargs': {'window_size': 10}}"
18,9,1000,400,0.861,their implementation (NO SELF LOOPS),"{'name': 'text_gcn_impl', 'kwargs': {'window_size': 10}}"
19,9,1000,400,0.858,my implementation,"{'name': 'pmi_tfidf', 'kwargs': {'window_size': 10}}"
20,10,1000,400,0.865,their implementation (NO SELF LOOPS),"{'name': 'text_gcn_impl', 'kwargs': {'window_size': 10}}"
21,10,1000,400,0.877,my implementation,"{'name': 'pmi_tfidf', 'kwargs': {'window_size': 10}}"
22,11,1000,400,0.887,their implementation (NO SELF LOOPS),"{'name': 'text_gcn_impl', 'kwargs': {'window_size': 10}}"
23,11,1000,400,0.884,my implementation,"{'name': 'pmi_tfidf', 'kwargs': {'window_size': 10}}"
24,12,1000,400,0.867,their implementation (NO SELF LOOPS),"{'name': 'text_gcn_impl', 'kwargs': {'window_size': 10}}"
25,12,1000,400,0.871,my implementation,"{'name': 'pmi_tfidf', 'kwargs': {'window_size': 10}}"
26,13,1000,400,0.887,their implementation (NO SELF LOOPS),"{'name': 'text_gcn_impl', 'kwargs': {'window_size': 10}}"
27,13,1000,400,0.894,my implementation,"{'name': 'pmi_tfidf', 'kwargs': {'window_size': 10}}"
28,14,1000,400,0.874,their implementation (NO SELF LOOPS),"{'name': 'text_gcn_impl', 'kwargs': {'window_size': 10}}"
29,14,1000,400,0.871,my implementation,"{'name': 'pmi_tfidf', 'kwargs': {'window_size': 10}}"
